,Report_No,Reported_Date,Race,Sex,Age
9328,KC20003458,1/14/2020,B,F,45.0
9329,KC20015547,3/1/2020,W,F,30.0
9330,KC20000698,1/3/2020,B,F,31.0
9331,KC20006828,1/28/2020,W,F,72.0
9332,KC20001766,1/8/2020,W,F,37.0
9333,KC20009084,2/5/2020,W,F,46.0
9334,KC20000018,1/1/2020,B,M,60.0
9335,KC20010742,2/11/2020,,,
9336,KC20006485,1/27/2020,W,M,31.0
9337,KC20004269,1/17/2020,W,M,
9338,KC20001504,1/7/2020,W,F,39.0
9339,KC20001670,1/7/2020,B,M,30.0
9340,KC20011725,2/15/2020,W,M,25.0
9341,KC20005426,1/22/2020,,,
9342,KC20004447,1/18/2020,B,F,20.0
9343,KC20013798,2/23/2020,W,F,54.0
9344,KC20011132,2/13/2020,W,M,25.0
9345,KC20017096,3/6/2020,B,F,36.0
9346,KC20001281,1/6/2020,W,M,32.0
9347,KC20012789,2/19/2020,W,F,38.0
9348,KC20004056,1/16/2020,,,
9349,KC20003191,1/13/2020,,,
9350,KC20012870,2/20/2020,U,F,
9351,KC20012058,2/17/2020,,,
9352,KC20014239,2/25/2020,B,M,47.0
9353,KC20000032,1/1/2020,W,F,23.0
9354,KC20007473,1/30/2020,,,
9355,KC20010379,2/10/2020,B,M,27.0
9356,KC20006747,1/28/2020,B,M,53.0
9357,KC20006397,1/26/2020,W,M,44.0
9358,KC20003765,1/15/2020,W,F,60.0
9359,KC20005304,1/22/2020,B,M,63.0
9360,KC20002741,1/11/2020,B,M,45.0
9361,KC20007753,1/31/2020,B,F,48.0
9362,KC20012952,2/20/2020,,,
9363,KC20006004,1/24/2020,B,M,
9364,KC20012698,2/19/2020,W,M,64.0
9365,KC20014757,2/27/2020,B,M,
9366,KC20008790,2/4/2020,U,U,
9367,KC20003180,1/13/2020,W,M,35.0
9368,KC20016741,3/5/2020,B,M,48.0
9369,KC20006812,1/28/2020,,,
9370,KC20002741,1/11/2020,,,
9371,KC20014431,2/26/2020,W,M,49.0
9372,KC20006208,1/25/2020,B,M,29.0
9373,KC20010089,2/8/2020,W,M,24.0
9374,KC20014787,2/27/2020,B,F,45.0
9375,KC20013737,2/23/2020,,,
9376,KC20000794,1/4/2020,W,F,
9377,KC20003475,1/14/2020,B,M,28.0
9378,KC20001040,1/5/2020,W,M,18.0
9379,KC20008278,2/2/2020,W,M,36.0
9380,KC20002465,1/10/2020,W,F,27.0
9381,KC20004959,1/20/2020,B,M,39.0
9382,KC20005756,1/23/2020,B,M,49.0
9383,KC20008719,2/4/2020,B,M,31.0
9384,KC20016260,3/3/2020,W,F,38.0
9385,KC20007694,1/31/2020,B,F,
9386,KC20009535,2/6/2020,W,M,33.0
9387,KC20015680,3/1/2020,B,M,24.0
9388,KC20003546,1/15/2020,,,
9389,KC20002608,1/11/2020,W,M,37.0
9390,KC20004164,1/17/2020,W,M,19.0
9391,KC20011497,2/14/2020,,,
9392,KC20007176,1/29/2020,,,
9393,KC20002796,1/12/2020,B,F,27.0
9394,KC20012021,2/17/2020,,M,
9395,KC20014193,2/25/2020,B,M,
9396,KC20009644,2/7/2020,B,U,60.0
9397,KC20010200,2/9/2020,B,M,32.0
9398,KC20016920,3/6/2020,,M,26.0
9399,KC20008327,2/2/2020,B,M,50.0
9400,KC20015957,3/2/2020,B,M,60.0
9401,KC20011796,2/15/2020,B,M,52.0
9402,KC20008384,2/3/2020,B,M,29.0
9403,KC20002096,1/9/2020,W,F,28.0
9404,KC20010804,2/11/2020,B,M,48.0
9405,KC20008477,2/3/2020,B,M,58.0
9406,KC20000740,1/3/2020,B,M,32.0
9407,KC20002908,1/12/2020,B,M,23.0
9408,KC20009903,2/8/2020,W,M,39.0
9409,KC20004962,1/21/2020,W,M,26.0
9410,KC20011819,2/16/2020,W,M,31.0
9411,KC20011600,2/15/2020,W,M,30.0
9412,KC20011915,2/16/2020,W,F,78.0
9413,KC20012156,2/17/2020,W,M,28.0
9414,KC20004294,1/18/2020,B,F,39.0
9415,KC20014270,2/25/2020,B,M,76.0
9416,KC20007459,1/30/2020,W,F,28.0
9417,KC20001507,1/7/2020,,,
9418,KC20016363,3/4/2020,B,F,33.0
9419,KC20012134,2/17/2020,B,F,39.0
9420,KC20006952,1/28/2020,W,F,20.0
9421,KC20007011,1/29/2020,W,M,49.0
9422,KC20013117,2/21/2020,B,M,32.0
9423,KC20005012,1/21/2020,W,F,69.0
9424,KC20012070,2/17/2020,B,F,54.0
9425,KC20003409,1/14/2020,B,M,31.0
9426,KC20014522,2/26/2020,B,M,21.0
9427,KC20013812,2/23/2020,W,M,39.0
9428,KC20009457,2/6/2020,,,
9429,KC20002419,1/10/2020,W,M,27.0
9430,KC20011699,2/15/2020,,,
9431,KC20012936,2/20/2020,W,F,84.0
9432,KC20016655,3/5/2020,,,
9433,KC20011814,2/16/2020,B,M,59.0
9434,KC20002307,1/9/2020,B,F,44.0
9435,KC20002996,1/13/2020,W,F,
9436,KC20011264,2/13/2020,B,M,48.0
9437,KC20009093,2/5/2020,B,F,32.0
9438,KC20016999,3/6/2020,B,M,39.0
9439,KC20016507,3/4/2020,W,F,60.0
9440,KC20000266,1/2/2020,B,F,27.0
9441,KC20008099,2/1/2020,W,M,21.0
9442,KC20005816,1/24/2020,W,M,45.0
9443,KC20013418,2/21/2020,B,M,23.0
9444,KC20010312,2/10/2020,W,M,35.0
9445,KC20013717,2/23/2020,W,F,40.0
9446,KC20011063,2/12/2020,W,M,35.0
9447,KC20015052,2/28/2020,,,
9448,KC20012009,2/16/2020,B,F,32.0
9449,KC20007156,1/29/2020,,,
9450,KC20006457,1/26/2020,B,F,61.0
9451,KC20008621,2/3/2020,B,M,38.0
9452,KC20001637,1/7/2020,B,F,47.0
9453,KC20011692,2/15/2020,B,F,50.0
9454,KC20012054,2/17/2020,B,M,62.0
9455,KC20017116,3/6/2020,B,F,63.0
9456,KC20008940,2/4/2020,W,M,24.0
9457,KC20016612,3/5/2020,W,M,58.0
9458,KC20014368,2/25/2020,B,M,
9459,KC20007713,1/31/2020,,,
9460,KC20007413,1/30/2020,B,F,37.0
9461,KC20016804,3/5/2020,B,F,23.0
9462,KC20001536,1/7/2020,B,F,31.0
9463,KC20013266,2/21/2020,,,
9464,KC20003676,1/15/2020,W,F,44.0
9465,KC20013033,2/20/2020,B,M,64.0
9466,KC20002992,1/13/2020,W,M,38.0
9467,KC20003710,1/15/2020,W,M,68.0
9468,KC20001823,1/8/2020,U,M,22.0
9469,KC20005842,1/24/2020,W,M,40.0
9470,KC20009621,2/7/2020,B,M,60.0
9471,KC20003913,1/16/2020,B,F,
9472,KC20014677,2/26/2020,B,F,21.0
9473,KC20009049,2/4/2020,W,M,38.0
9474,KC20013310,2/21/2020,W,M,29.0
9475,KC20004780,1/20/2020,W,F,
9476,KC20003221,1/14/2020,W,M,36.0
9477,KC20015975,3/2/2020,,,
9478,KC20004590,1/19/2020,W,F,27.0
9479,KC20006789,1/28/2020,W,M,43.0
9480,KC20005557,1/23/2020,W,M,47.0
9481,KC20008714,2/4/2020,B,F,18.0
9482,KC20012837,2/20/2020,B,M,60.0
9483,KC20003201,1/13/2020,B,M,19.0
9484,KC20002634,1/11/2020,,,
9485,KC20001905,1/8/2020,B,M,
9486,KC20002452,1/10/2020,B,M,77.0
9487,KC20002527,1/10/2020,W,M,69.0
9488,KC20012384,2/18/2020,B,F,48.0
9489,KC20009376,2/6/2020,W,M,22.0
9490,KC20001279,1/6/2020,B,F,64.0
9491,KC20003205,1/14/2020,B,F,28.0
9492,KC20004710,1/19/2020,W,M,53.0
9493,KC20004113,1/17/2020,W,M,
9494,KC20010560,2/10/2020,B,M,48.0
9495,KC20016140,3/3/2020,W,M,60.0
9496,KC20005865,1/24/2020,B,F,
9497,KC20010196,2/9/2020,B,M,34.0
9498,KC20008788,2/4/2020,W,M,60.0
9499,KC20008160,2/2/2020,W,F,28.0
9500,KC20008084,2/1/2020,B,M,37.0
9501,KC20000712,1/3/2020,B,M,30.0
9502,KC20013435,2/22/2020,W,F,31.0
9503,KC20015811,3/2/2020,W,F,64.0
9504,KC20009438,2/6/2020,W,M,40.0
9505,KC20011750,2/15/2020,B,M,29.0
9506,KC20008595,2/3/2020,,,
9507,KC20005743,1/23/2020,B,F,37.0
9508,KC20012914,2/20/2020,,,
9509,KC20014562,2/26/2020,W,F,60.0
9510,KC20006120,1/25/2020,B,F,67.0
9511,KC20010952,2/12/2020,W,F,69.0
9512,KC20000810,1/4/2020,B,F,59.0
9513,KC20009630,2/7/2020,B,M,22.0
9514,KC20000777,1/4/2020,W,M,60.0
9515,KC20000532,1/3/2020,,,
9516,KC20015864,3/2/2020,B,F,44.0
9517,KC20005546,1/23/2020,W,M,67.0
9518,KC20009228,2/5/2020,B,M,34.0
9519,KC20013583,2/22/2020,W,F,33.0
9520,KC20016964,3/6/2020,B,F,50.0
9521,KC20010551,2/10/2020,B,F,23.0
9522,KC20016045,3/3/2020,B,F,42.0
9523,KC20000674,1/3/2020,W,M,55.0
9524,KC20012032,2/17/2020,B,M,38.0
9525,KC20010006,2/8/2020,W,F,50.0
9526,KC20014487,2/26/2020,B,M,
9527,KC20016183,3/3/2020,U,U,
9528,KC20015877,3/2/2020,B,M,35.0
9529,KC20004014,1/16/2020,,F,66.0
9530,KC20012631,2/19/2020,B,F,42.0
9531,KC20004615,1/19/2020,W,M,22.0
9532,KC20013001,2/20/2020,,,
9533,KC20008002,2/1/2020,,,
9534,KC20012743,2/19/2020,,,
9535,KC20008601,2/3/2020,W,M,30.0
9536,KC20014245,2/25/2020,,,
9537,KC20004419,1/18/2020,B,M,18.0
9538,KC20013591,2/22/2020,W,F,33.0
9539,KC20014504,2/26/2020,B,M,39.0
9540,KC20012707,2/19/2020,W,M,64.0
9541,KC20011741,2/15/2020,B,M,18.0
9542,KC20010123,2/9/2020,,,
9543,KC20006908,1/28/2020,B,F,42.0
9544,KC20014347,2/25/2020,U,F,31.0
9545,KC20013162,2/21/2020,B,F,49.0
9546,KC20013637,2/23/2020,,,
9547,KC20000533,1/3/2020,B,F,
9548,KC20012224,2/17/2020,,,
9549,KC20000270,1/2/2020,B,M,62.0
9550,KC20003865,1/16/2020,B,M,60.0
9551,KC20013432,2/22/2020,B,M,49.0
9552,KC20004530,1/19/2020,W,M,24.0
9553,KC20004950,1/20/2020,W,M,22.0
9554,KC20004999,1/21/2020,W,M,62.0
9555,KC20008693,2/3/2020,B,M,34.0
9556,KC20013315,2/21/2020,W,F,
9557,KC20001442,1/6/2020,W,F,42.0
9558,KC20015939,3/2/2020,W,M,25.0
9559,KC20013431,2/22/2020,W,F,34.0
9560,KC20009110,2/5/2020,,M,48.0
9561,KC20011623,2/15/2020,W,M,25.0
9562,KC20012789,2/19/2020,B,M,31.0
9563,KC20007662,1/31/2020,W,M,32.0
9564,KC20005782,1/24/2020,,,
9565,KC20002753,1/12/2020,B,M,
9566,KC20009428,2/6/2020,W,M,
9567,KC20014736,2/27/2020,W,M,28.0
9568,KC20002910,1/12/2020,W,M,58.0
9569,KC20011472,2/14/2020,W,M,47.0
9570,KC20012103,2/17/2020,B,M,28.0
9571,KC20013241,2/21/2020,B,F,46.0
9572,KC20015968,3/2/2020,B,F,40.0
9573,KC20000898,1/4/2020,B,M,
9574,KC20005882,1/24/2020,I,M,42.0
9575,KC20001291,1/6/2020,B,M,59.0
9576,KC20000048,1/1/2020,B,M,
9577,KC20008267,2/2/2020,B,M,21.0
9578,KC20004997,1/21/2020,B,M,34.0
9579,KC20003393,1/14/2020,B,M,21.0
9580,KC20008988,2/4/2020,B,M,38.0
9581,KC20010386,2/10/2020,,,
9582,KC20013828,2/23/2020,W,M,49.0
9583,KC20000104,1/1/2020,B,M,38.0
9584,KC20006238,1/25/2020,B,M,57.0
9585,KC20008123,2/1/2020,B,F,41.0
9586,KC20016764,3/5/2020,B,F,46.0
9587,KC20017078,3/6/2020,B,M,
9588,KC20006762,1/28/2020,W,F,26.0
9589,KC20012884,2/20/2020,W,F,49.0
9590,KC20014060,2/24/2020,B,M,34.0
9591,KC20001689,1/7/2020,,,
9592,KC20015226,2/28/2020,B,,
9593,KC20010297,2/9/2020,B,M,22.0
9594,KC20014833,2/27/2020,W,M,21.0
9595,KC20009594,2/6/2020,B,F,
9596,KC20001585,1/7/2020,B,M,18.0
9597,KC20008647,2/3/2020,W,F,85.0
9598,KC20008842,2/4/2020,W,F,19.0
9599,KC20013643,2/23/2020,B,M,34.0
9600,KC20003525,1/15/2020,W,M,31.0
9601,KC20002310,1/9/2020,B,M,39.0
9602,KC20004297,1/18/2020,B,M,53.0
9603,KC20008479,2/3/2020,B,F,25.0
9604,KC20016670,3/5/2020,B,F,35.0
9605,KC20010279,2/9/2020,B,M,41.0
9606,KC20007071,1/29/2020,B,M,26.0
9607,KC20007949,2/1/2020,B,F,44.0
9608,KC20016275,3/3/2020,W,M,47.0
9609,KC20002685,1/11/2020,W,F,25.0
9610,KC20014136,2/24/2020,B,M,55.0
9611,KC20016916,3/6/2020,W,M,45.0
9612,KC20008901,2/4/2020,B,F,26.0
9613,KC20003540,1/15/2020,U,F,
9614,KC20016288,3/4/2020,W,F,18.0
9615,KC20008045,2/1/2020,B,F,34.0
9616,KC20004334,1/18/2020,B,M,71.0
9617,KC20005193,1/21/2020,B,F,
9618,KC20005256,1/22/2020,B,F,33.0
9619,KC20006479,1/27/2020,W,F,50.0
9620,KC20006290,1/26/2020,W,F,40.0
9621,KC20014235,2/25/2020,,,
9622,KC20015078,2/28/2020,W,M,53.0
9623,KC20005924,1/24/2020,B,F,79.0
9624,KC20005156,1/21/2020,B,F,26.0
9625,KC20006577,1/27/2020,W,M,20.0
9626,KC20001864,1/8/2020,W,M,36.0
9627,KC20014428,2/26/2020,W,M,62.0
9628,KC20011093,2/12/2020,B,M,
9629,KC20009505,2/6/2020,W,M,50.0
9630,KC20007445,1/30/2020,W,M,46.0
9631,KC20009784,2/7/2020,W,F,
9632,KC20016936,3/6/2020,B,F,33.0
9633,KC20004521,1/18/2020,,F,50.0
9634,KC20004837,1/20/2020,B,F,22.0
9635,KC20007724,1/31/2020,B,M,61.0
9636,KC20009261,2/5/2020,W,F,59.0
9637,KC20013668,2/23/2020,B,F,27.0
9638,KC20001424,1/6/2020,,,
9639,KC20015713,3/2/2020,W,M,33.0
9640,KC20003338,1/14/2020,B,F,27.0
9641,KC20013746,2/23/2020,,,
9642,KC20003829,1/16/2020,W,M,38.0
9643,KC20004540,1/19/2020,B,F,22.0
9644,KC20002766,1/12/2020,B,M,39.0
9645,KC20010017,2/8/2020,B,F,51.0
9646,KC20015997,3/2/2020,W,M,36.0
9647,KC20007788,1/31/2020,B,F,46.0
9648,KC20005676,1/23/2020,B,M,
9649,KC20013371,2/21/2020,,,
9650,KC20010710,2/11/2020,U,F,30.0
9651,KC20012906,2/20/2020,W,F,27.0
9652,KC20004662,1/19/2020,W,M,31.0
9653,KC20012641,2/19/2020,W,M,41.0
9654,KC20012162,2/17/2020,W,M,52.0
9655,KC20012842,2/20/2020,U,M,43.0
9656,KC20004672,1/19/2020,W,M,28.0
9657,KC20015850,3/2/2020,W,M,24.0
9658,KC20010348,2/10/2020,B,F,37.0
9659,KC20005714,1/23/2020,U,M,69.0
9660,KC20001040,1/5/2020,W,M,19.0
9661,KC20009749,2/7/2020,B,M,58.0
9662,KC20005443,1/22/2020,,,
9663,KC20000262,1/2/2020,W,F,18.0
9664,KC20011880,2/16/2020,W,M,
9665,KC20012507,2/18/2020,W,F,39.0
9666,KC20006645,1/27/2020,W,F,32.0
9667,KC20004804,1/20/2020,W,M,34.0
9668,KC20000196,1/1/2020,B,M,43.0
9669,KC20016789,3/5/2020,W,M,29.0
9670,KC20012486,2/18/2020,B,M,
9671,KC20009870,2/7/2020,,,
9672,KC20002652,1/11/2020,U,F,56.0
9673,KC20001162,1/5/2020,,,
9674,KC20014951,2/28/2020,W,M,42.0
9675,KC20013541,2/22/2020,,,
9676,KC20011606,2/15/2020,B,M,55.0
9677,KC20001138,1/5/2020,W,F,20.0
9678,KC20004912,1/20/2020,B,M,30.0
9679,KC20000508,1/2/2020,B,M,19.0
9680,KC20016857,3/5/2020,W,M,
9681,KC20001373,1/6/2020,W,F,31.0
9682,KC20013912,2/24/2020,B,F,
9683,KC20002773,1/12/2020,B,M,44.0
9684,KC20007775,1/31/2020,U,F,22.0
9685,KC20000245,1/1/2020,B,F,31.0
9686,KC20013848,2/24/2020,,,
9687,KC20015595,3/1/2020,B,M,80.0
9688,KC20002050,1/9/2020,W,M,44.0
9689,KC20007592,1/30/2020,W,M,30.0
9690,KC20004456,1/18/2020,B,M,59.0
9691,KC20013008,2/20/2020,B,F,26.0
9692,KC20015165,2/28/2020,B,F,25.0
9693,KC20009563,2/6/2020,,,
9694,KC20014641,2/26/2020,U,U,
9695,KC20010977,2/12/2020,B,F,24.0
9696,KC20000024,1/1/2020,B,F,47.0
9697,KC20006906,1/28/2020,W,F,28.0
9698,KC20003535,1/15/2020,W,F,42.0
9699,KC20014976,2/28/2020,,,
9700,KC20012761,2/19/2020,W,M,57.0
9701,KC20002884,1/12/2020,B,M,
9702,KC20008765,2/4/2020,W,F,37.0
9703,KC20016024,3/3/2020,W,M,26.0
9704,KC20016650,3/5/2020,,,
9705,KC20000384,1/2/2020,W,M,52.0
9706,KC20015296,2/29/2020,W,M,63.0
9707,KC20003146,1/13/2020,B,M,33.0
9708,KC20005467,1/22/2020,B,M,28.0
9709,KC20011344,2/13/2020,B,M,33.0
9710,KC20010152,2/9/2020,B,F,27.0
9711,KC20000607,1/3/2020,B,F,33.0
9712,KC20008024,2/1/2020,U,M,37.0
9713,KC20001316,1/6/2020,,,
9714,KC20008309,2/2/2020,B,M,22.0
9715,KC20003159,1/13/2020,W,F,48.0
9716,KC20016766,3/5/2020,W,F,42.0
9717,KC20009955,2/8/2020,B,M,48.0
9718,KC20008508,2/3/2020,W,M,23.0
9719,KC20002066,1/9/2020,W,F,31.0
9720,KC20015688,3/1/2020,B,M,
9721,KC20004241,1/17/2020,U,U,
9722,KC20015858,3/2/2020,B,F,48.0
9723,KC20013612,2/22/2020,B,F,49.0
9724,KC20004473,1/18/2020,W,M,46.0
9725,KC20004479,1/18/2020,W,M,
9726,KC20000056,1/1/2020,W,F,29.0
9727,KC20005866,1/24/2020,U,M,26.0
9728,KC20000364,1/2/2020,U,M,70.0
9729,KC20014446,2/26/2020,W,M,49.0
9730,KC20001052,1/5/2020,W,M,
9731,KC20013075,2/20/2020,W,F,
9732,KC20007152,1/29/2020,B,M,74.0
9733,KC20013236,2/21/2020,B,F,31.0
9734,KC20012082,2/17/2020,W,M,46.0
9735,KC20012847,2/20/2020,W,M,41.0
9736,KC20003755,1/15/2020,,,
9737,KC20014406,2/25/2020,W,M,29.0
9738,KC20013731,2/23/2020,W,M,65.0
9739,KC20008256,2/2/2020,W,F,26.0
9740,KC20012045,2/17/2020,B,F,38.0
9741,KC20001399,1/6/2020,B,M,29.0
9742,KC20013774,2/23/2020,W,F,31.0
9743,KC20005087,1/21/2020,B,M,36.0
9744,KC20014307,2/25/2020,W,F,42.0
9745,KC20012187,2/17/2020,B,M,20.0
9746,KC20015335,2/29/2020,B,F,66.0
9747,KC20008676,2/3/2020,W,F,59.0
9748,KC20015520,3/1/2020,B,M,
9749,KC20010133,2/9/2020,U,M,
9750,KC20014516,2/26/2020,W,F,59.0
9751,KC20014078,2/24/2020,B,M,33.0
9752,KC20004442,1/18/2020,B,M,61.0
9753,KC20000013,1/1/2020,W,M,
9754,KC20011702,2/15/2020,W,M,31.0
9755,KC20005477,1/22/2020,W,F,59.0
9756,KC20002107,1/9/2020,W,M,28.0
9757,KC20001676,1/7/2020,B,M,38.0
9758,KC20002934,1/13/2020,B,M,29.0
9759,KC20004931,1/20/2020,W,M,26.0
9760,KC20005351,1/22/2020,W,F,27.0
9761,KC20012933,2/20/2020,B,M,38.0
9762,KC20008438,2/3/2020,B,F,26.0
9763,KC20004493,1/18/2020,B,F,23.0
9764,KC20009859,2/7/2020,W,M,39.0
9765,KC20009890,2/8/2020,B,M,45.0
9766,KC20016286,3/3/2020,B,F,35.0
9767,KC20001551,1/7/2020,W,M,40.0
9768,KC20000404,1/2/2020,B,M,25.0
9769,KC20013201,2/21/2020,B,M,44.0
9770,KC20009215,2/5/2020,W,F,50.0
9771,KC20011571,2/14/2020,B,F,51.0
9772,KC20015324,2/29/2020,B,F,38.0
9773,KC20007393,1/29/2020,B,M,
9774,KC20004841,1/20/2020,W,F,35.0
9775,KC20010444,2/10/2020,W,F,
9776,KC20009132,2/5/2020,B,M,60.0
9777,KC20014069,2/24/2020,W,F,48.0
9778,KC20012439,2/18/2020,W,M,26.0
9779,KC20008071,2/1/2020,B,M,24.0
9780,KC20013886,2/24/2020,W,M,58.0
9781,KC20003727,1/15/2020,W,M,43.0
9782,KC20010717,2/11/2020,W,F,41.0
9783,KC20016686,3/5/2020,W,M,63.0
9784,KC20010900,2/12/2020,,,
9785,KC20000874,1/4/2020,B,M,56.0
9786,KC20012298,2/18/2020,,,
9787,KC20014189,2/24/2020,,M,
9788,KC20009506,2/6/2020,B,M,40.0
9789,KC20013497,2/22/2020,,,
9790,KC20003034,1/13/2020,W,F,21.0
9791,KC20004924,1/20/2020,B,M,34.0
9792,KC20013956,2/24/2020,B,M,39.0
9793,KC20003701,1/15/2020,B,M,28.0
9794,KC20009574,2/6/2020,B,F,21.0
9795,KC20000358,1/2/2020,B,M,47.0
9796,KC20000042,1/1/2020,B,M,27.0
9797,KC20014148,2/25/2020,B,M,34.0
9798,KC20015559,3/1/2020,,,
9799,KC20004129,1/17/2020,,,
9800,KC20014620,2/26/2020,W,F,18.0
9801,KC20002136,1/9/2020,B,F,70.0
9802,KC20007112,1/29/2020,B,F,40.0
9803,KC20003934,1/16/2020,B,F,43.0
9804,KC20000528,1/3/2020,B,F,31.0
9805,KC20007091,1/29/2020,W,M,31.0
9806,KC20005498,1/22/2020,W,M,32.0
9807,KC20009948,2/8/2020,W,M,24.0
9808,KC20013884,2/24/2020,B,F,52.0
9809,KC20012556,2/19/2020,B,M,
9810,KC20001914,1/8/2020,B,M,79.0
9811,KC20004189,1/17/2020,W,M,65.0
9812,KC20009069,2/5/2020,B,M,43.0
9813,KC20012722,2/19/2020,,,
9814,KC20006268,1/26/2020,B,M,34.0
9815,KC20013775,2/23/2020,W,F,31.0
9816,KC20016441,3/4/2020,W,M,
9817,KC20004075,1/16/2020,W,F,34.0
9818,KC20002242,1/9/2020,B,F,62.0
9819,KC20006287,1/26/2020,U,F,
9820,KC20001592,1/7/2020,W,M,64.0
9821,KC20000288,1/2/2020,W,F,21.0
9822,KC20005011,1/21/2020,W,F,49.0
9823,KC20005273,1/22/2020,W,F,58.0
9824,KC20008450,2/3/2020,W,M,29.0
9825,KC20009589,2/6/2020,W,F,45.0
9826,KC20015441,2/29/2020,,,
9827,KC20011738,2/15/2020,W,M,29.0
9828,KC20002203,1/9/2020,W,F,33.0
9829,KC20002954,1/13/2020,W,M,20.0
9830,KC20015985,3/2/2020,,,
9831,KC20013101,2/21/2020,B,F,25.0
9832,KC20006804,1/28/2020,B,F,34.0
9833,KC20008144,2/1/2020,W,M,38.0
9834,KC20016297,3/4/2020,W,M,30.0
9835,KC20005401,1/22/2020,W,F,35.0
9836,KC20015017,2/28/2020,B,F,29.0
9837,KC20011152,2/13/2020,B,M,41.0
9838,KC20004700,1/19/2020,W,M,28.0
9839,KC20006249,1/26/2020,B,M,33.0
9840,KC20002833,1/12/2020,W,F,37.0
9841,KC20017020,3/6/2020,W,F,19.0
9842,KC20004883,1/20/2020,W,F,
9843,KC20003665,1/15/2020,B,M,39.0
9844,KC20007215,1/29/2020,W,M,30.0
9845,KC20001174,1/5/2020,W,M,25.0
9846,KC20013532,2/22/2020,B,M,56.0
9847,KC20017127,3/6/2020,,,
9848,KC20013575,2/22/2020,W,M,
9849,KC20016064,3/3/2020,B,M,66.0
9850,KC20002222,1/9/2020,B,M,48.0
9851,KC20008112,2/1/2020,W,M,49.0
9852,KC20011942,2/16/2020,W,M,
9853,KC20001255,1/6/2020,W,M,31.0
9854,KC20016165,3/3/2020,W,M,57.0
9855,KC20004714,1/19/2020,B,M,27.0
9856,KC20015117,2/28/2020,W,M,38.0
9857,KC20008346,2/2/2020,B,M,
9858,KC20002987,1/13/2020,,,
9859,KC20004564,1/19/2020,B,M,20.0
9860,KC20010240,2/9/2020,W,M,50.0
9861,KC20006542,1/27/2020,,,
9862,KC20015344,2/29/2020,B,F,56.0
9863,KC20008222,2/2/2020,W,F,31.0
9864,KC20008168,2/2/2020,W,M,46.0
9865,KC20010786,2/11/2020,W,M,
9866,KC20009993,2/8/2020,,,
9867,KC20001212,1/5/2020,W,M,41.0
9868,KC20003584,1/15/2020,B,F,31.0
9869,KC20016828,3/5/2020,W,F,51.0
9870,KC20011927,2/16/2020,B,M,36.0
9871,KC20007966,2/1/2020,W,M,36.0
9872,KC20004095,1/17/2020,W,M,34.0
9873,KC20006546,1/27/2020,,,
9874,KC20012240,2/17/2020,B,M,36.0
9875,KC20010076,2/8/2020,,,
9876,KC20010884,2/12/2020,B,M,52.0
9877,KC20008735,2/4/2020,W,M,23.0
9878,KC20000568,1/3/2020,B,M,30.0
9879,KC20013822,2/23/2020,U,M,28.0
9880,KC20010604,2/11/2020,,,
9881,KC20005807,1/24/2020,B,M,32.0
9882,KC20007515,1/30/2020,W,F,62.0
9883,KC20013375,2/21/2020,B,M,32.0
9884,KC20008536,2/3/2020,W,M,34.0
9885,KC20000751,1/3/2020,W,M,47.0
9886,KC20007648,1/31/2020,W,F,29.0
9887,KC20013333,2/21/2020,W,F,24.0
9888,KC20009414,2/6/2020,W,M,57.0
9889,KC20016422,3/4/2020,B,F,
9890,KC20012408,2/18/2020,W,M,33.0
9891,KC20013381,2/21/2020,B,M,35.0
9892,KC20015951,3/2/2020,W,F,38.0
9893,KC20006416,1/26/2020,,,
9894,KC20005521,1/23/2020,U,F,35.0
9895,KC20014910,2/27/2020,B,M,35.0
9896,KC20003587,1/15/2020,B,F,21.0
9897,KC20005769,1/23/2020,B,M,52.0
9898,KC20014320,2/25/2020,,,
9899,KC20003630,1/15/2020,W,F,38.0
9900,KC20011327,2/13/2020,B,M,32.0
9901,KC20008191,2/2/2020,,M,40.0
9902,KC20004077,1/17/2020,W,F,22.0
9903,KC20010479,2/10/2020,B,F,36.0
9904,KC20008754,2/4/2020,B,F,43.0
9905,KC20007680,1/31/2020,B,M,55.0
9906,KC20009618,2/7/2020,,M,43.0
9907,KC20000133,1/1/2020,B,F,41.0
9908,KC20008468,2/3/2020,,,
9909,KC20003270,1/14/2020,W,F,55.0
9910,KC20002706,1/11/2020,B,M,21.0
9911,KC20011824,2/16/2020,B,F,28.0
9912,KC20004153,1/17/2020,W,F,
9913,KC20010842,2/12/2020,B,M,26.0
9914,KC20011352,2/13/2020,B,M,20.0
9915,KC20004175,1/17/2020,B,M,
9916,KC20016729,3/5/2020,,,
9917,KC20003144,1/13/2020,B,M,73.0
9918,KC20012968,2/20/2020,W,M,33.0
9919,KC20008766,2/4/2020,W,M,27.0
9920,KC20008577,2/3/2020,W,F,44.0
9921,KC20011996,2/16/2020,B,F,19.0
9922,KC20005242,1/22/2020,W,F,46.0
9923,KC20005202,1/21/2020,,,
9924,KC20000675,1/3/2020,W,M,66.0
9925,KC20004228,1/17/2020,,,
9926,KC20003591,1/15/2020,B,F,35.0
9927,KC20001750,1/7/2020,,,
9928,KC20014087,2/24/2020,B,F,26.0
9929,KC20014581,2/26/2020,W,M,40.0
9930,KC20004214,1/17/2020,W,F,24.0
9931,KC20009102,2/5/2020,B,F,31.0
9932,KC20000466,1/2/2020,U,U,
